Speed,CO,NOX,VOC,SO2,NH3,PM10,PM2.5
0,3305.05,386.049,267.04,6.67019,33.792,16.637,14.9942
1,12396.6,821.866,358.493,9.94461,35.6523,24.7115,22.3914
2,9975.23,661.333,288.47,8.00216,28.6885,19.8847,18.0177
3,6651.74,440.101,192.426,5.33502,19.1263,13.2559,12.0113
4,4996.33,326.334,144.857,4.00241,14.3478,9.9391,9.00611
5,4256.86,288.49,119.692,3.30308,11.6923,8.29531,7.50942
6,3768.82,264.081,102.972,2.83891,9.92612,7.21445,6.52518
7,3418.89,249.367,90.8903,2.50789,8.66366,6.54447,5.91598
8,3156.74,238.796,81.8239,2.26005,7.71703,6.04563,5.46238
9,2953.03,230.855,74.7691,2.06754,6.98087,5.65981,5.11155
10,2790.06,224.502,69.1253,1.91354,6.39194,5.35115,4.83089
11,2656.72,219.303,64.5077,1.78754,5.91009,5.09862,4.60126
12,2545.61,214.972,60.6597,1.68254,5.50855,4.88818,4.4099
13,2451.59,211.306,57.4035,1.59369,5.16879,4.71011,4.24798
14,2369.58,207.518,54.5622,1.51673,4.87719,4.5088,4.06444
15,2297.56,203.804,52.0659,1.4495,4.6242,4.30175,3.87543
16,2234.54,200.553,49.8816,1.39068,4.40285,4.12058,3.71005
17,2178.93,197.685,47.9541,1.33877,4.20753,3.96073,3.56413
18,2129.58,195.176,46.2407,1.29267,4.03402,3.8221,3.43759
19,2085.43,192.941,44.7072,1.25143,3.8788,3.69898,3.32521
20,2045.71,190.931,43.3273,1.21432,3.73911,3.58818,3.22408
21,2009.77,189.113,42.0787,1.18074,3.61272,3.48794,3.13259
22,1977.08,187.459,40.9436,1.15021,3.49781,3.39679,3.0494
23,1947.24,185.949,39.9074,1.12234,3.39292,3.31358,2.97345
24,1919.9,184.565,38.9574,1.0968,3.29675,3.23731,2.90384
25,1896.19,183.807,38.1369,1.07406,3.20864,3.20603,2.87549
26,1874.55,183.16,37.3847,1.05315,3.12736,3.18291,2.8546
27,1854.52,182.559,36.688,1.0338,3.05211,3.16148,2.83525
28,1835.92,181.999,36.041,1.01583,2.98224,3.14158,2.81727
29,1818.6,181.479,35.4387,0.999096,2.91717,3.12304,2.80052
30,1799.28,180.928,34.8582,0.98325,2.85748,3.09829,2.7783
31,1754.11,179.844,34.1576,0.966458,2.81047,3.01115,2.7009
32,1711.76,178.827,33.5006,0.950713,2.76639,2.92945,2.62833
33,1671.98,177.872,32.8837,0.935925,2.72499,2.85271,2.56017
34,1634.43,176.956,32.2975,0.92197,2.68599,2.77843,2.49413
35,1598.95,176.077,31.7399,0.908778,2.64918,2.70661,2.43021
