speed,CO2-Atm,CO2-Eq,CO,PM10,VOC,SO2,PM2.5,NOx,NH3
0,0.367088,0.00881952,4377.49,30.0168,375.082,6.68532,26.8304,431.748,34.5386
1,0.429159,0.0104133,13384.1,35.9175,478.118,9.94179,32.3045,894.325,36.2471
2,0.345333,0.0083793,10769.8,28.9018,384.729,7.99989,25.9946,719.64,29.1671
3,0.229393,0.00556507,7181.45,19.2673,256.6,5.3335,17.3292,478.971,19.4454
4,0.16811,0.00407359,5393.62,14.4477,192.987,4.00127,12.9945,355.488,14.5871
5,0.137083,0.0033142,4583.08,11.9902,158.925,3.30235,10.7781,313.71,11.8834
6,0.116751,0.00281669,4047.85,10.3687,136.287,2.83844,9.31553,286.718,10.085
7,0.105239,0.00253765,3664.2,9.31253,119.979,2.50761,8.3647,270.158,8.79961
8,0.0965813,0.00232785,3376.76,8.52404,107.743,2.25992,7.65487,258.203,7.83574
9,0.0898339,0.00216436,3153.38,7.91294,98.2224,2.06753,7.10475,249.185,7.08618
10,0.0844361,0.00203357,2974.68,7.42406,90.606,1.91361,6.66466,241.97,6.48653
11,0.0800196,0.00192656,2828.47,7.02407,84.3746,1.78768,6.30457,236.067,5.99591
12,0.0763394,0.00183739,2706.63,6.69075,79.1818,1.68274,6.00452,231.148,5.58707
13,0.0732251,0.00176193,2603.52,6.4087,74.7878,1.59395,5.75061,226.986,5.24112
14,0.0701669,0.00168746,2513.74,6.11827,70.9711,1.51704,5.48824,222.772,4.94421
15,0.0672561,0.00161636,2434.97,5.83399,67.6294,1.44985,5.2309,218.688,4.68664
16,0.064709,0.00155415,2366.05,5.58523,64.7055,1.39105,5.00573,215.114,4.46126
17,0.0624617,0.00149926,2305.24,5.36575,62.1255,1.33918,4.80705,211.961,4.2624
18,0.0605276,0.00145206,2251.25,5.17411,59.8319,1.29311,4.63362,209.199,4.08573
19,0.058814,0.00141025,2202.96,5.00356,57.7793,1.25189,4.47929,206.738,3.92769
20,0.0572719,0.00137263,2159.51,4.85008,55.9322,1.2148,4.3404,204.523,3.78546
21,0.0558767,0.00133859,2120.2,4.71121,54.2611,1.18124,4.21474,202.52,3.65678
22,0.0546081,0.00130763,2084.45,4.58496,52.7417,1.15073,4.10049,200.698,3.53978
23,0.05345,0.00127938,2051.82,4.4697,51.3546,1.12287,3.99619,199.036,3.43298
24,0.0523884,0.00125348,2021.9,4.36404,50.083,1.09734,3.90058,197.512,3.33506
25,0.0516106,0.00123461,1995.83,4.30573,48.9666,1.07461,3.84832,196.624,3.24534
26,0.0509083,0.00121758,1972.01,4.25765,47.9414,1.05372,3.80535,195.857,3.16258
27,0.0502565,0.00120178,1949.97,4.21312,46.9918,1.03438,3.76556,195.145,3.08595
28,0.0496512,0.0011871,1929.5,4.17176,46.1101,1.01642,3.7286,194.485,3.0148
29,0.0490876,0.00117343,1910.43,4.13324,45.2891,0.999699,3.69418,193.869,2.94855
30,0.0484209,0.00115736,1889.52,4.08672,44.5011,0.983857,3.6527,193.227,2.88773
31,0.0465904,0.00111383,1843.19,3.9524,43.5768,0.967023,3.53356,192.041,2.83946
32,0.0448742,0.00107303,1799.75,3.82647,42.71,0.951239,3.42186,190.93,2.7942
33,0.0432622,0.0010347,1758.94,3.70817,41.896,0.936415,3.31694,189.887,2.75169
