speed,CO2-Atm,CO2-Eq,CO,PM10,VOC,SO2,PM2.5,NOx,NH3
0,0.0367088,0.000881952,437.749,3.00168,37.5082,0.668532,2.68304,43.1748,3.45386
1,0.0429159,0.00104133,1338.41,3.59175,47.8118,0.994179,3.23045,89.4325,3.62471
2,0.0345333,0.00083793,1076.98,2.89018,38.4729,0.799989,2.59946,71.964,2.91671
3,0.0229393,0.000556507,718.145,1.92673,25.66,0.53335,1.73292,47.8971,1.94454
4,0.016811,0.000407359,539.362,1.44477,19.2987,0.400127,1.29945,35.5488,1.45871
5,0.0137083,0.00033142,458.308,1.19902,15.8925,0.330235,1.07781,31.371,1.18834
6,0.0116751,0.000281669,404.785,1.03687,13.6287,0.283844,0.931553,28.6718,1.0085
7,0.0105239,0.000253765,366.42,0.931253,11.9979,0.250761,0.83647,27.0158,0.87996
8,0.00965813,0.000232786,337.676,0.852405,10.7743,0.225992,0.765487,25.8203,0.783574
9,0.00898339,0.000216436,315.338,0.791294,9.82224,0.206753,0.710475,24.9185,0.708618
10,0.00844361,0.000203357,297.468,0.742406,9.0606,0.191361,0.666466,24.197,0.648654
11,0.00800196,0.000192656,282.847,0.702407,8.43747,0.178768,0.630457,23.6067,0.599591
12,0.00763394,0.000183739,270.663,0.669075,7.91818,0.168274,0.600452,23.1148,0.558707
13,0.00732251,0.000176193,260.352,0.640869,7.47879,0.159395,0.575061,22.6986,0.524112
14,0.00701669,0.000168746,251.374,0.611827,7.09711,0.151704,0.548824,22.2772,0.494421
15,0.00672561,0.000161636,243.497,0.583399,6.76294,0.144985,0.52309,21.8688,0.468664
16,0.0064709,0.000155415,236.605,0.558523,6.47055,0.139105,0.500573,21.5114,0.446126
17,0.00624617,0.000149926,230.524,0.536575,6.21255,0.133918,0.480705,21.1961,0.42624
18,0.00605276,0.000145206,225.125,0.517411,5.98319,0.129311,0.463362,20.9199,0.408573
19,0.0058814,0.000141025,220.296,0.500356,5.77793,0.125189,0.447929,20.6738,0.392769
20,0.00572719,0.000137263,215.951,0.485008,5.59322,0.12148,0.43404,20.4523,0.378546
21,0.00558767,0.000133859,212.02,0.471121,5.42611,0.118124,0.421474,20.252,0.365678
22,0.00546081,0.000130763,208.445,0.458496,5.27417,0.115073,0.410049,20.0698,0.353978
23,0.005345,0.000127938,205.182,0.44697,5.13546,0.112287,0.399619,19.9036,0.343298
24,0.00523884,0.000125348,202.19,0.436404,5.0083,0.109734,0.390058,19.7512,0.333506
25,0.00516106,0.000123461,199.583,0.430573,4.89666,0.107461,0.384832,19.6624,0.324534
26,0.00509083,0.000121758,197.201,0.425765,4.79414,0.105372,0.380535,19.5857,0.316258
27,0.00502565,0.000120178,194.997,0.421312,4.69918,0.103438,0.376556,19.5145,0.308595
28,0.00496512,0.00011871,192.95,0.417176,4.61101,0.101642,0.37286,19.4485,0.30148
29,0.00490876,0.000117343,191.043,0.413324,4.52891,0.0999699,0.369418,19.3869,0.294855
30,0.00484209,0.000115736,188.952,0.408672,4.45011,0.0983857,0.36527,19.3227,0.288773
31,0.00465904,0.000111383,184.319,0.39524,4.35768,0.0967023,0.353356,19.2041,0.283946
32,0.00448742,0.000107303,179.975,0.382647,4.271,0.0951239,0.342186,19.093,0.27942
33,0.00432622,0.00010347,175.894,0.370817,4.1896,0.0936415,0.331694,18.9887,0.275169
34,0.00417345,9.98373e-05,172.044,0.359478,4.11243,0.0922425,0.32163,18.8888,0.271165
35,0.00402852,9.639e-05,168.406,0.348608,4.03919,0.0909201,0.311976,18.7931,0.267385
36,0.00389163,9.31341e-05,164.969,0.338342,3.97002,0.0896714,0.302859,18.7028,0.263816
37,0.00376214,9.00541e-05,161.718,0.32863,3.90459,0.0884902,0.294235,18.6172,0.26044
38,0.00363947,8.71362e-05,158.637,0.31943,3.8426,0.0873711,0.286064,18.5363,0.257242
39,0.00352309,8.43681e-05,155.716,0.310702,3.78379,0.0863093,0.278313,18.4594,0.254207
40,0.00341204,8.17244e-05,152.952,0.302618,3.72835,0.0853061,0.271139,18.389,0.251334
41,0.00331913,7.95082e-05,150.553,0.296059,3.67491,0.0843024,0.265318,18.3018,0.248705
42,0.00329956,7.90243e-05,149.441,0.294965,3.61872,0.0830652,0.264332,18.1024,0.246719
43,0.00328091,7.8563e-05,148.381,0.293923,3.56517,0.0818858,0.263393,17.9123,0.244825
44,0.00326311,7.81228e-05,147.369,0.292928,3.51404,0.0807599,0.262496,17.7307,0.243017
45,0.0032461,7.77021e-05,146.401,0.291977,3.46517,0.079684,0.261639,17.5573,0.24129
46,0.00322981,7.72995e-05,145.476,0.291066,3.41844,0.0786549,0.260819,17.3915,0.239637
47,0.00321424,7.69143e-05,144.59,0.290196,3.3737,0.0776696,0.260034,17.2327,0.238056
48,0.00319931,7.65451e-05,143.742,0.289361,3.33082,0.0767254,0.259282,17.0805,0.236539
49,0.00318685,7.62388e-05,142.918,0.288521,3.28848,0.0758117,0.258525,16.9321,0.235084
50,0.00317865,7.6035e-05,142.062,0.287932,3.24752,0.0749689,0.257991,16.8028,0.233962
51,0.00321032,7.6774e-05,140.438,0.290188,3.20968,0.0746162,0.259972,16.849,0.236303
52,0.00324419,7.7569e-05,138.843,0.29217,3.17236,0.0742646,0.261702,16.8843,0.238562
53,0.00327679,7.83343e-05,137.309,0.294078,3.13646,0.0739264,0.263368,16.9183,0.240736
54,0.00330818,7.90712e-05,135.831,0.295915,3.10189,0.0736006,0.264971,16.9511,0.242829
55,0.00333844,7.97814e-05,134.408,0.297685,3.06858,0.0732868,0.266517,16.9827,0.244846
56,0.00336603,8.04269e-05,133.052,0.299549,3.03691,0.0729915,0.268152,17.0182,0.246792
57,0.0033918,8.10285e-05,131.754,0.301436,3.00661,0.0727109,0.269812,17.0555,0.248671
58,0.00341667,8.16092e-05,130.5,0.303259,2.97735,0.0724399,0.271414,17.0914,0.250486
59,0.00344069,8.21699e-05,129.289,0.305018,2.94908,0.0721779,0.272961,17.126,0.252237
60,0.00346391,8.27122e-05,128.118,0.306719,2.92175,0.0719249,0.274457,17.1596,0.253932
61,0.00348638,8.32368e-05,126.987,0.308365,2.89532,0.0716802,0.275904,17.192,0.255571
62,0.00350811,8.37441e-05,125.89,0.309957,2.86975,0.0714432,0.277304,17.2234,0.257157
63,0.00352917,8.42356e-05,124.829,0.311499,2.84499,0.0712139,0.27866,17.2538,0.258692
64,0.00354956,8.47118e-05,123.802,0.312993,2.821,0.0709918,0.279974,17.2832,0.26018
65,0.00356932,8.51731e-05,122.805,0.31444,2.79774,0.0707762,0.281246,17.3118,0.261621
66,0.00358849,8.56206e-05,121.84,0.315844,2.7752,0.0705675,0.282481,17.3394,0.26302
67,0.00360708,8.60547e-05,120.902,0.317206,2.75332,0.0703649,0.283679,17.3663,0.264376
68,0.00362514,8.64762e-05,119.992,0.318529,2.7321,0.0701684,0.284842,17.3924,0.265693
69,0.00364265,8.68851e-05,119.109,0.319812,2.71148,0.0699773,0.28597,17.4177,0.266971
70,0.00365968,8.72827e-05,118.251,0.321059,2.69144,0.0697918,0.287067,17.4422,0.268213
71,0.00367622,8.76689e-05,117.418,0.322271,2.67199,0.0696116,0.288132,17.4661,0.269421
72,0.00369192,8.80345e-05,116.606,0.323427,2.65303,0.069436,0.289148,17.4887,0.270595
73,0.00371709,8.86228e-05,115.819,0.325397,2.63473,0.0692798,0.290887,17.5229,0.271795
74,0.00374909,8.93726e-05,115.055,0.327943,2.61706,0.0691386,0.29314,17.5655,0.273002
75,0.00378022,9.01022e-05,114.312,0.330419,2.59986,0.069001,0.295331,17.607,0.274177
76,0.00381055,9.08128e-05,113.588,0.332832,2.58311,0.0688672,0.297466,17.6474,0.275321
77,0.00384009,9.15049e-05,112.882,0.335181,2.5668,0.0687368,0.299545,17.6867,0.276436
78,0.00386887,9.21794e-05,112.196,0.337471,2.5509,0.0686098,0.301571,17.725,0.277521
79,0.00389694,9.28372e-05,111.554,0.339703,2.53565,0.0684883,0.303547,17.7638,0.278582
80,0.00392544,9.3505e-05,111.953,0.341963,2.52974,0.0684584,0.305546,17.8573,0.27973
