speed,CO2-Atm,CO2-Eq,CO,PM10,VOC,SO2,PM2.5,NOx,NH3
0,0.0325461,0.000774885,436.888,2.58961,36.38,0.666332,2.30385,32.095,3.44289
1,0.0336407,0.00080564,1331.25,2.69153,45.9681,0.984956,2.40311,71.524,3.61437
2,0.0270698,0.000648277,1071.22,2.16581,36.9892,0.792569,1.93372,57.5535,2.90839
3,0.018054,0.000432369,714.168,1.44457,24.6622,0.528372,1.2898,38.353,1.93893
4,0.0135759,0.00032515,535.708,1.08677,18.5093,0.396249,0.970434,28.6885,1.45423
5,0.0112398,0.000269093,445.066,0.898912,15.2134,0.326064,0.802563,26.133,1.18463
6,0.00968939,0.000231887,384.966,0.77421,13.024,0.279455,0.691123,24.4942,1.00531
7,0.00858193,0.000205311,342.039,0.685136,11.4601,0.246163,0.611523,23.3236,0.877233
8,0.00774905,0.000185328,309.873,0.618697,10.2868,0.221237,0.552155,22.4925,0.781192
9,0.0070999,0.000169754,284.873,0.567245,9.37381,0.201876,0.506181,21.8743,0.706506
10,0.00658054,0.000157294,264.874,0.52608,8.64345,0.186388,0.4694,21.3798,0.646758
11,0.00615563,0.0001471,248.511,0.492401,8.04589,0.173715,0.439307,20.9752,0.597873
12,0.00580152,0.000138604,234.875,0.464335,7.54793,0.163155,0.414229,20.6381,0.557135
13,0.0055019,0.000131416,223.337,0.440586,7.12657,0.154219,0.393009,20.3527,0.522664
14,0.00524508,0.000125255,213.446,0.420231,6.7654,0.14656,0.374821,20.1082,0.493118
15,0.00487158,0.000116353,205.776,0.391178,6.42293,0.140223,0.348961,19.4158,0.464451
16,0.00454007,0.000108454,199.092,0.365403,6.12236,0.134687,0.326019,18.795,0.439272
17,0.00424757,0.000101484,193.196,0.342659,5.85714,0.129802,0.305777,18.2473,0.417054
18,0.00399397,9.54483e-05,187.961,0.322792,5.62137,0.125464,0.288104,17.7645,0.397318
19,0.00376879,9.00913e-05,183.279,0.30511,5.41039,0.121583,0.272377,17.3336,0.37966
20,0.00356611,8.52699e-05,179.065,0.289195,5.22051,0.118091,0.258222,16.9459,0.363769
21,0.00338275,8.09078e-05,175.253,0.274797,5.04872,0.114931,0.245416,16.595,0.349392
22,0.00321605,7.69421e-05,171.788,0.261707,4.89254,0.112058,0.233773,16.276,0.33632
23,0.00306384,7.33214e-05,168.623,0.249755,4.74994,0.109436,0.223144,15.9848,0.324387
24,0.00292432,7.00023e-05,165.723,0.2388,4.61923,0.107032,0.2134,15.7179,0.313447
25,0.00279597,6.69488e-05,163.055,0.228721,4.49898,0.10482,0.204435,15.4723,0.303383
26,0.00272055,6.51438e-05,160.629,0.222656,4.36799,0.102295,0.199022,15.2049,0.295672
27,0.00267075,6.39447e-05,158.402,0.218519,4.23776,0.0997396,0.195316,14.9399,0.289249
28,0.00262451,6.28314e-05,156.333,0.214677,4.11683,0.0973669,0.191875,14.6938,0.283285
29,0.00258145,6.17947e-05,154.406,0.2111,4.00424,0.0951575,0.188671,14.4646,0.277731
30,0.00254127,6.08271e-05,152.609,0.207762,3.89917,0.0930956,0.185681,14.2506,0.272549
31,0.00250368,5.99221e-05,150.928,0.204639,3.80086,0.0911668,0.182884,14.0506,0.2677
32,0.00246843,5.90735e-05,149.351,0.201711,3.7087,0.0893583,0.180261,13.863,0.263154
33,0.00243532,5.82764e-05,147.87,0.198961,3.62212,0.0876596,0.177798,13.6868,0.258884
34,0.00245653,5.87612e-05,146.068,0.200262,3.55425,0.086332,0.178916,13.6949,0.257395
35,0.00248499,5.94174e-05,144.29,0.202027,3.49226,0.0851251,0.180441,13.7319,0.256433
36,0.00251189,6.00377e-05,142.611,0.203696,3.4337,0.0839855,0.181884,13.767,0.255525
37,0.00253734,6.06244e-05,141.022,0.205274,3.37832,0.0829075,0.183248,13.8001,0.254666
38,0.00256144,6.11801e-05,139.518,0.206769,3.32585,0.0818862,0.18454,13.8315,0.253853
39,0.00258431,6.17072e-05,138.09,0.208187,3.27608,0.0809172,0.185765,13.8612,0.25308
40,0.00260554,6.2194e-05,136.746,0.209744,3.22921,0.0800021,0.18712,13.892,0.252357
41,0.00262536,6.26466e-05,135.476,0.211379,3.18495,0.0791358,0.188549,13.9232,0.251675
42,0.00264424,6.30774e-05,134.266,0.212936,3.14279,0.0783106,0.189909,13.9529,0.251025
43,0.00266224,6.34884e-05,133.113,0.214421,3.10259,0.0775238,0.191207,13.9813,0.250406
44,0.00267943,6.38808e-05,132.012,0.215838,3.06421,0.0767729,0.192446,14.0083,0.249815
45,0.00269586,6.42557e-05,130.96,0.217193,3.02756,0.0760553,0.19363,14.0342,0.24925
46,0.00271156,6.46141e-05,129.953,0.218488,2.99248,0.0753688,0.194761,14.0589,0.248709
47,0.0027266,6.49574e-05,128.99,0.219728,2.9589,0.0747116,0.195845,14.0826,0.248192
48,0.00274102,6.52865e-05,128.067,0.220917,2.92673,0.0740818,0.196884,14.1053,0.247697
49,0.00275483,6.56019e-05,127.181,0.222057,2.89585,0.0734776,0.19788,14.127,0.247221
50,0.00278406,6.62812e-05,126.342,0.224364,2.87198,0.0731947,0.19991,14.267,0.248997
51,0.00281515,6.70067e-05,125.523,0.226608,2.84916,0.0729444,0.20188,14.4083,0.250912
52,0.00284849,6.77894e-05,124.702,0.228577,2.82627,0.072691,0.203599,14.5349,0.252759
53,0.00288059,6.85428e-05,123.913,0.230473,2.80426,0.0724473,0.205253,14.6568,0.254537
54,0.00291149,6.92683e-05,123.152,0.232298,2.78305,0.0722127,0.206846,14.7742,0.256249
55,0.00294128,6.99676e-05,122.42,0.234057,2.76262,0.0719865,0.208382,14.8874,0.2579
56,0.0029684,7.06021e-05,121.731,0.235911,2.74337,0.0717759,0.210008,15.0016,0.259491
57,0.0029937,7.11929e-05,121.076,0.237789,2.72506,0.071577,0.211659,15.1147,0.26103
58,0.00301814,7.17633e-05,120.444,0.239603,2.70738,0.071385,0.213254,15.224,0.262514
59,0.00304173,7.2314e-05,119.832,0.241354,2.6903,0.0711993,0.214794,15.3294,0.263948
60,0.00306455,7.28467e-05,119.242,0.243048,2.67379,0.07102,0.216283,15.4315,0.265335
61,0.00308662,7.33619e-05,118.671,0.244686,2.65782,0.0708465,0.217724,15.5302,0.266676
62,0.00310796,7.38602e-05,118.117,0.24627,2.64236,0.0706785,0.219117,15.6256,0.267973
63,0.00312864,7.4343e-05,117.582,0.247805,2.6274,0.070516,0.220466,15.7181,0.26923
64,0.00314868,7.48107e-05,117.064,0.249292,2.61291,0.0703585,0.221774,15.8076,0.270447
65,0.00316808,7.52637e-05,116.56,0.250733,2.59885,0.0702058,0.22304,15.8944,0.271627
66,0.00318691,7.57033e-05,116.074,0.25213,2.58523,0.0700578,0.22427,15.9786,0.272771
