speed,CO2-Atm,CO2-Eq,CO,PM10,VOC,SO2,PM2.5,NOx,NH3
0,0.0363118,0.000873174,440.256,2.98127,37.6634,0.670537,2.66602,43.7703,3.46133
1,0.0429766,0.00104384,1348.28,3.61037,48.193,0.997711,3.24893,90.6218,3.63178
2,0.0345821,0.000839948,1084.93,2.90517,38.7796,0.802832,2.61433,72.921,2.9224
3,0.0229687,0.000557774,723.451,1.93672,25.8649,0.535246,1.74283,48.5321,1.94833
4,0.0168183,0.000407931,543.368,1.45225,19.4544,0.401554,1.30688,36.0109,1.46157
5,0.0136994,0.000331509,461.688,1.2048,16.022,0.331421,1.08357,31.7457,1.19065
6,0.0116563,0.000281457,407.748,1.04154,13.7408,0.284871,0.936227,28.9893,1.01046
7,0.0105094,0.000253626,369.081,0.935521,12.0969,0.251676,0.840723,27.3027,0.881652
8,0.00964674,0.0002327,340.112,0.856381,10.8636,0.226824,0.769436,26.0861,0.785069
9,0.00897438,0.000216391,317.6,0.795053,9.90395,0.207522,0.714195,25.1688,0.709961
10,0.0084365,0.000203344,299.59,0.745992,9.13623,0.19208,0.670004,24.435,0.649875
11,0.00799641,0.000192669,284.854,0.70585,8.50812,0.179446,0.633846,23.8346,0.600714
12,0.00762969,0.000183774,272.574,0.672399,7.98469,0.168918,0.603716,23.3343,0.559746
13,0.00731936,0.000176246,262.184,0.644093,7.54179,0.160009,0.57822,22.911,0.525081
14,0.00701301,0.000168778,253.131,0.614781,7.15691,0.15229,0.551723,22.4811,0.495329
15,0.00672049,0.000161626,245.185,0.585995,6.81985,0.145545,0.525652,22.0636,0.469517
16,0.00646452,0.000155367,238.234,0.560808,6.52491,0.139643,0.502838,21.6983,0.446932
17,0.00623869,0.000149845,232.1,0.538584,6.26468,0.134435,0.48271,21.3761,0.427004
18,0.00604453,0.000145101,226.655,0.519188,6.03332,0.12981,0.465147,21.0939,0.409301
19,0.00587256,0.0001409,221.785,0.501929,5.82629,0.125672,0.449521,20.8424,0.393463
20,0.0057178,0.00013712,217.402,0.486397,5.63997,0.121949,0.435457,20.6161,0.379211
21,0.00557779,0.000133701,213.437,0.472345,5.4714,0.11858,0.422734,20.4114,0.366315
22,0.00545048,0.000130591,209.832,0.459568,5.31815,0.115517,0.411166,20.2252,0.354592
23,0.00533427,0.000127752,206.54,0.447905,5.17823,0.112721,0.400605,20.0553,0.343889
24,0.00522773,0.00012515,203.524,0.437212,5.04997,0.110158,0.390924,19.8995,0.334077
25,0.00515036,0.000123271,200.899,0.431412,4.93753,0.107879,0.385723,19.8097,0.325088
26,0.00508056,0.000121577,198.5,0.426654,4.83426,0.105784,0.381469,19.7322,0.316796
27,0.00501578,0.000120004,196.281,0.422247,4.73863,0.103845,0.377529,19.6603,0.309119
28,0.00495562,0.000118544,194.22,0.418154,4.64983,0.102045,0.37387,19.5934,0.30199
29,0.00489959,0.000117183,192.302,0.414342,4.56714,0.100368,0.370461,19.5311,0.295352
30,0.00483347,0.000115587,190.198,0.409744,4.48779,0.0987798,0.36636,19.4663,0.289259
31,0.00465288,0.000111292,185.547,0.396507,4.39484,0.0970938,0.354617,19.3477,0.284427
32,0.00448356,0.000107265,181.188,0.384097,4.30769,0.0955129,0.343608,19.2365,0.279896
33,0.00432451,0.000103482,177.092,0.372439,4.22584,0.0940281,0.333266,19.132,0.275641
34,0.00417374,9.98948e-05,173.227,0.361254,4.14823,0.0926269,0.323337,19.0319,0.271632
35,0.00403064,9.64898e-05,169.574,0.350522,4.07455,0.0913021,0.313805,18.9359,0.267849
36,0.0038955,9.32741e-05,166.124,0.340386,4.00496,0.0900512,0.304802,18.8454,0.264276
37,0.00376766,9.02321e-05,162.861,0.330799,3.93914,0.0888679,0.296286,18.7597,0.260896
38,0.00364655,8.73502e-05,159.769,0.321715,3.87679,0.0877469,0.288217,18.6786,0.257694
39,0.00353165,8.46162e-05,156.835,0.313098,3.81762,0.0866832,0.280563,18.6015,0.254656
40,0.00342199,8.20044e-05,154.061,0.305128,3.76186,0.0856784,0.273488,18.5309,0.25178
41,0.00333017,7.98131e-05,151.654,0.298667,3.70812,0.084673,0.267753,18.4437,0.24915
42,0.00331052,7.93265e-05,150.534,0.29758,3.65158,0.0834321,0.266774,18.2439,0.247163
43,0.00329179,7.88627e-05,149.467,0.296546,3.59769,0.0822491,0.265841,18.0534,0.245269
44,0.00327392,7.842e-05,148.448,0.295558,3.54623,0.0811198,0.26495,17.8716,0.243461
